text	start	duration	sequence_id	sentence
and	18.363	0.120000000000001	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
extroverts,	18.583	0.5810000000000031	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	19.904	0.120000000000001	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	20.044	0.05999999999999872	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
thinkers	20.145	0.4400000000000013	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
and	21.585	0.10099999999999909	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
the	21.706	0.05999999999999872	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
doers,	21.806	0.379999999999999	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	22.906	0.16000000000000014	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
old	23.227	0.16000000000000014	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
friends,	23.487	0.46000000000000085	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
Coca-Cola	25.488	0.6610000000000014	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
for	27.349	0.14000000000000057	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
everyone.	27.69	0.5599999999999987	0	 For the big, for the small, the short and the tall, peacemakers, risk takers, for the optimists, pessimists, exhibitionists, for long distance love, for the farsighted, nearsighted, for introverts and extroverts, for the thinkers and the doers, for old friends, Coca-Cola for everyone.
